frame,t_sec,neck_tilt,ear_avg,neck_delta_abs,neck_alarm_8,neck_alarm_15
0,0.0,,,0.0,0,0
2,0.068,,,0.0,0,0
4,0.136,,,0.0,0,0
6,0.204,,,0.0,0,0
8,0.272,,,0.0,0,0
10,0.341,,,0.0,0,0
12,0.409,,,0.0,0,0
14,0.477,,,0.0,0,0
16,0.545,,,0.0,0,0
18,0.613,,,0.0,0,0
20,0.681,,,0.0,0,0
22,0.749,,,0.0,0,0
24,0.817,,,0.0,0,0
26,0.885,,,0.0,0,0
28,0.954,,,0.0,0,0
30,1.022,,,0.0,0,0
32,1.09,,,0.0,0,0
34,1.158,,,0.0,0,0
36,1.226,,,0.0,0,0
38,1.294,,,0.0,0,0
40,1.362,,,0.0,0,0
42,1.43,,,0.0,0,0
44,1.498,,,0.0,0,0
46,1.567,,,0.0,0,0
48,1.635,,,0.0,0,0
50,1.703,,,0.0,0,0
52,1.771,,,0.0,0,0
54,1.839,,,0.0,0,0
56,1.907,,,0.0,0,0
58,1.975,,,0.0,0,0
60,2.043,,,0.0,0,0
62,2.111,,,0.0,0,0
64,2.18,,,0.0,0,0
66,2.248,,,0.0,0,0
68,2.316,,,0.0,0,0
70,2.384,,,0.0,0,0
72,2.452,,,0.0,0,0
74,2.52,,,0.0,0,0
76,2.588,,,0.0,0,0
78,2.656,,,0.0,0,0
80,2.724,,,0.0,0,0
82,2.793,,,0.0,0,0
84,2.861,,,0.0,0,0
86,2.929,,,0.0,0,0
88,2.997,,,0.0,0,0
90,3.065,,,0.0,0,0
92,3.133,,,0.0,0,0
94,3.201,,,0.0,0,0
96,3.269,,,0.0,0,0
98,3.338,,,0.0,0,0
100,3.406,,,0.0,0,0
102,3.474,,,0.0,0,0
104,3.542,,,0.0,0,0
106,3.61,,,0.0,0,0
108,3.678,,,0.0,0,0
110,3.746,,,0.0,0,0
112,3.814,,,0.0,0,0
114,3.882,,,0.0,0,0
116,3.951,,,0.0,0,0
118,4.019,,,0.0,0,0
120,4.087,,,0.0,0,0
122,4.155,,,0.0,0,0
124,4.223,,,0.0,0,0
126,4.291,,,0.0,0,0
128,4.359,,,0.0,0,0
130,4.427,,,0.0,0,0
132,4.495,,,0.0,0,0
134,4.564,,,0.0,0,0
136,4.632,,,0.0,0,0
138,4.7,,,0.0,0,0
140,4.768,,,0.0,0,0
142,4.836,,,0.0,0,0
144,4.904,,,0.0,0,0
146,4.972,,,0.0,0,0
148,5.04,,,0.0,0,0
150,5.108,,,0.0,0,0
152,5.177,,,0.0,0,0
154,5.245,,,0.0,0,0
156,5.313,,,0.0,0,0
158,5.381,,,0.0,0,0
160,5.449,,,0.0,0,0
162,5.517,,,0.0,0,0
164,5.585,,,0.0,0,0
166,5.653,,,0.0,0,0
168,5.721,,,0.0,0,0
170,5.79,,,0.0,0,0
172,5.858,,,0.0,0,0
174,5.926,,,0.0,0,0
176,5.994,,,0.0,0,0
178,6.062,,,0.0,0,0
180,6.13,,,0.0,0,0
182,6.198,,,0.0,0,0
184,6.266,,,0.0,0,0
186,6.334,,,0.0,0,0
188,6.403,,,0.0,0,0
190,6.471,,,0.0,0,0
192,6.539,,,0.0,0,0
194,6.607,,,0.0,0,0
196,6.675,,,0.0,0,0
198,6.743,,,0.0,0,0
200,6.811,,,0.0,0,0
202,6.879,,,0.0,0,0
204,6.947,,,0.0,0,0
206,7.016,,,0.0,0,0
208,7.084,,,0.0,0,0
210,7.152,,,0.0,0,0
212,7.22,,,0.0,0,0
214,7.288,,,0.0,0,0
216,7.356,,,0.0,0,0
218,7.424,,,0.0,0,0
220,7.492,,,0.0,0,0
222,7.56,,,0.0,0,0
224,7.629,,,0.0,0,0
226,7.697,,,0.0,0,0
228,7.765,,,0.0,0,0
230,7.833,,,0.0,0,0
232,7.901,,,0.0,0,0
234,7.969,,,0.0,0,0
236,8.037,,,0.0,0,0
238,8.105,,,0.0,0,0
240,8.173,,,0.0,0,0
242,8.242,,,0.0,0,0
244,8.31,,,0.0,0,0
246,8.378,,,0.0,0,0
248,8.446,,,0.0,0,0
250,8.514,,,0.0,0,0
252,8.582,,,0.0,0,0
254,8.65,,,0.0,0,0
256,8.718,,,0.0,0,0
258,8.787,,,0.0,0,0
260,8.855,,,0.0,0,0
262,8.923,,,0.0,0,0
264,8.991,,,0.0,0,0
266,9.059,,,0.0,0,0
268,9.127,,,0.0,0,0
270,9.195,,,0.0,0,0
272,9.263,,,0.0,0,0
274,9.331,,,0.0,0,0
276,9.4,,,0.0,0,0
278,9.468,,,0.0,0,0
280,9.536,,,0.0,0,0
282,9.604,,,0.0,0,0
284,9.672,,,0.0,0,0
286,9.74,,,0.0,0,0
288,9.808,,,0.0,0,0
290,9.876,,,0.0,0,0
292,9.944,,,0.0,0,0
294,10.013,,,0.0,0,0
296,10.081,,,0.0,0,0
298,10.149,,,0.0,0,0
